Wavelength,10,15,20,25,30,35,40,45,50,55,60,70,80,90,100,120,140,160,180,200,220,240,260,280,298
925.076,-1.17E-04,0.001283285,0.002672738,0.001001486,0.016501184,0.004281745,-0.002326364,0.00382926,0.00932608,0.006840646,-0.004158924,0.007665921,0.003274698,-3.33E-04,0.00415901,0.004237529,0.003399966,0.00462778,0.00114151,0.003422453,0.006969674,0.003698567,0.001157763,0.003793196,0.010758827
925.315,7.28E-04,-0.001604107,-7.42E-04,0.010176391,0.011801703,0.013008662,-0.002356975,0.003801104,0.009437104,0.004279171,-0.002861104,0.005160328,0.0015649,-0.002495979,5.32E-04,1.70E-04,8.88E-04,0.00676262,1.35E-04,0.005503819,0.007255046,0.002437692,0.003026921,0.006667335,0.014345103
925.554,0.00157244,0.001315367,0.007622253,0.006784261,0.009257623,0.010034319,5.51E-04,0.00413898,0.006883535,7.84E-04,0.002920096,0.004116331,-0.002608166,-0.006572744,0.004376632,0.003348404,0.00536477,0.001515047,0.001472917,0.002768003,0.007079432,0.001975371,-0.001618078,-0.001152998,0.00806466
925.793,5.03E-04,-0.003144049,0.005790932,0.009142599,0.01328575,0.001209348,-0.001683553,0.003660322,0.002886644,-4.22E-04,0.007108515,0.009634601,-0.001912655,3.05E-04,0.004328272,0.002951136,-0.003639159,0.002134839,0.002786268,0.003143507,0.006826987,0.001779235,0.006597852,0.006516944,0.011258408
926.032,-0.00145563,0.009143407,2.47E-04,0.009465659,0.011413024,0.006406276,-0.002265144,0.004110823,0.006911291,-0.005092816,7.96E-04,0.016017897,-0.00391225,-0.001802651,0.003723764,0.00514557,0.00435674,0.00571586,-9.45E-04,0.002982577,0.006695277,0.003446392,0.004840285,0.006115901,0.01086588
926.271,-0.00120404,0.003176131,7.92E-04,0.013051625,0.006748878,0.009380618,-0.009121797,0.003322446,0.004052404,-6.03E-04,0.001976226,0.010320656,0.001506941,0.003577569,0.002877454,0.006186035,0.00500598,0.004049308,4.91E-05,0.002864561,0.008736788,2.94E-04,0.005593528,0.003291892,0.012043464
926.509,0.001985767,0.003753609,0.012175807,-4.20E-04,0.009999647,0.003268508,0.005724081,0.008362428,0.012129455,0.007804966,0.005102793,0.008530947,-0.003274698,0.005546619,0.003796305,7.95E-04,0.00201606,0.004421183,0.001386997,0.002564158,0.006223315,0.001695176,-2.23E-04,-0.002422966,0.004264278
926.748,0.003351544,-0.00285531,0.011334389,0.010757899,0.008904279,-9.48E-04,0.003856867,0.004110823,0.004496503,0.007473481,-8.55E-04,0.009873229,0.001651839,0.001497587,0.008874166,0.005467169,0.009174782,0.007575236,6.63E-04,0.003293709,0.002941532,0.00250774,0.003278003,0.004946193,0.007636448
926.987,0.001707221,-0.001122875,0.002920214,0.010370227,0.01639518,0.007746364,2.45E-04,0.002111724,0.012407017,0.003736741,0.002802112,0.018016406,0.002028574,0.00349437,0.003723764,0.005353663,0,0.00336065,0.001620208,2.36E-04,0.005531835,0.0050435,0.002971126,0.004929483,0.012150517
927.225,0.00277648,0.007282644,0.011334389,0.001518382,0.007985584,0.0021899,0.003948698,0.00520892,0.011352282,-0.003103905,0.004453883,0.009336316,0.008259194,0.003522103,0.010615147,0.007926449,0.00133265,0.005206253,0.001190608,0.001791692,0.005575739,7.00E-04,-7.53E-04,0.003091371,0.009456349
927.464,0.003306617,0.003176131,0.008760641,0.007656523,0.010812339,0.002320641,0.004071138,0.010474152,0.013239702,0.008015911,0.003775477,0.011334825,6.09E-04,1.11E-04,0.00500532,0.002024177,0.003963779,0.001032987,-3.19E-04,-3.22E-04,0.00323788,5.88E-04,0.005175059,0.005380656,0.015094474
927.702,3.95E-04,0.006288098,-0.003761631,0.001906054,-1.06E-04,0.002876287,0.007866785,0.004589481,0.008548906,0.005394166,0.004542371,0.009992543,-0.004491842,0.005324755,0.004739336,2.46E-04,0.002972834,0.005826045,0.001264254,0.002424685,0.006014774,0.002493731,0.002287627,0.00145378,0.00485307
927.94,6.65E-04,0.005646455,-0.012967729,0.008658009,0.01544115,0.004216375,-0.002601855,-0.003744791,0.003247474,0.007684426,0.006990532,0.015272185,0.008143275,0.002024516,0.010736048,0.003670002,9.40E-04,0.004393637,0.001436094,8.05E-04,0.002831773,0.003670547,0.00410099,0.003726355,0.007779185
928.179,0.001293894,0.002021174,0.006137399,0.017477547,0.016147839,0.001601569,-0.007530074,4.51E-04,0.005884312,0.006298216,-0.002123706,0.008351976,-7.82E-04,0.004603694,0.01344424,0.00860748,0.001606014,0.00724468,0.001693854,0.0025427,0.00857215,3.78E-04,0.004254429,0.007135218,0.014434314
928.417,0.001635338,0.008373436,8.41E-04,0.018931317,0.001554715,0.009478673,0.001897824,0.008249803,0.006050849,0.002501205,0.002713624,0.008709918,0.00307184,-4.44E-04,0.004787697,0.007415675,0.003553733,0.010109497,0.001104688,0.004409493,0.006431856,0.003782625,0.005021621,0.006834436,0.012543044
